Price,Close,High,Low,Open,Volume
Ticker,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA,PETR4.SA
Date,,,,,
2022-01-03,11.883589744567871,11.936695852700737,11.65482371240804,11.658908917521831,52704700
2022-01-04,11.92852783203125,12.010229607817415,11.810059205257344,11.912187009370031,51739200
2022-01-05,11.466909408569336,11.957123166618576,11.413803294714425,11.924442301360179,78459800
2022-01-06,11.458740234375,11.703847139857682,11.372953246001416,11.55678361990677,61163100
2022-01-07,11.511846542358398,11.556783026823245,11.36478225078132,11.483250881034706,47507600
2022-01-10,11.442399978637695,11.53635737726913,11.323931344488475,11.434229566798434,37455200
2022-01-11,11.781462669372559,11.875420055173297,11.377036688637277,11.479164485161537,73623800
2022-01-12,12.140953063964844,12.218570413204997,11.826400019688384,11.826400019688384,81378200
2022-01-13,12.386058807373047,12.51269705453873,12.051079765672908,12.063335381530196,76717500
2022-01-14,12.847676277160645,12.908952795247266,12.35337736902573,12.369718189407868,96458800
2022-01-17,12.86810302734375,12.99474128341258,12.765975225539435,12.827251750787365,35675900
2022-01-18,12.925293922424316,13.064187790649402,12.651591391412916,12.89261305808743,78198800
2022-01-19,12.864018440246582,13.15814624308169,12.843593190573031,13.031507980924351,77480200
2022-01-20,12.957975387573242,13.072358807642503,12.708784077640404,12.868103201273088,85353100
2022-01-21,12.978403091430664,13.023338800795997,12.880360481215295,12.896700526664487,61345400
2022-01-24,13.051933288574219,13.174486338190395,12.680188155008755,12.94572028195933,79117100
2022-01-25,13.476784706115723,13.574826518040236,12.90078321725981,12.94980490239532,98358500
2022-01-26,13.836273193359375,13.99967828826214,13.603421946048147,13.603421946048147,98679900
2022-01-27,13.840359687805176,14.15082750954462,13.550315555748044,13.991508393234474,90631000
2022-01-28,13.29295539855957,14.032359705288014,13.162231933557415,13.807678847212225,117400500
2022-01-31,13.215337753295898,13.48087067786525,13.100955106821313,13.276615061533958,62450300
2022-02-01,13.480871200561523,13.61159467541438,13.051934701303914,13.215338265696614,57315200
2022-02-02,13.28478717803955,13.681043623245202,13.219425434759463,13.648361972431719,36271700
2022-02-03,13.100954055786133,13.448187952353521,12.917124483339858,13.215336693084273,51087800
2022-02-04,13.32972240447998,13.57482852894655,13.023338190550035,13.239849431613763,59346800
2022-02-07,13.133636474609375,13.390997423713335,13.125466063127982,13.297040029197289,48868100
2022-02-08,13.002912521362305,13.05193421218172,12.770061243110101,13.03150818301807,62590000
2022-02-09,13.051933288574219,13.354230707071018,12.929379459784753,12.966145530504265,50960500
2022-02-10,13.25210189819336,13.440018222217033,13.047847090757491,13.194910583278245,49534600
2022-02-11,13.791335105895996,13.852612398924538,13.329718649573804,13.386909958615753,88013400
2022-02-14,13.480871200561523,13.864871213148447,13.407339051163447,13.832191123608604,55687000
2022-02-15,13.26844596862793,13.350148534950188,13.027424255068027,13.341978122483278,65689000
2022-02-16,13.45227336883545,13.766827166465912,13.386911641947723,13.411422873910555,65811600
2022-02-17,13.399168014526367,13.599339202632923,13.29704020716207,13.419593264329892,43255200
2022-02-18,13.480871200561523,13.51763727526056,13.182658176156771,13.305211239037982,60304700
2022-02-21,13.828103065490723,13.889380366918674,13.48086917965636,13.501294427350174,51263800
2022-02-22,13.783169746398926,14.167169746066401,13.566657732301572,13.979254952081043,80206700
2022-02-23,13.97925090789795,14.134484010187496,13.807675428596028,13.962910089231816,86530100
2022-02-24,13.64018726348877,14.416359084023073,13.350144716434546,14.216187931705441,139674100
2022-02-25,13.889382362365723,13.889382362365723,13.44002061515729,13.664701488761505,86189100
2022-03-02,14.16308307647705,14.416361151794366,14.048700434944468,14.404104755668293,58071800
2022-03-03,13.987424850463867,14.269297031097691,13.954743204876197,14.224360547587958,69237400
2022-03-04,13.983339309692383,14.167169676094769,13.815849766602806,13.922063559789377,55418000
2022-03-07,12.990655899047852,14.1344869518442,12.92120896360979,14.093636455023338,110954100
2022-03-08,13.260273933410645,13.46861552995356,12.8721887388061,13.072359144708653,111633500
2022-03-09,13.30112361907959,13.407335832519578,12.96614382121965,13.31746288075364,87779300
2022-03-10,13.766825675964355,14.134484765522307,13.284782407977119,13.317462488709541,136437700
2022-03-11,13.272529602050781,14.044615522366147,13.100954087343721,13.852614759284727,92153700
2022-03-14,13.019253730773926,13.43593460881542,12.876274639081762,13.248019809977365,52274100
2022-03-15,12.70469856262207,12.88444371001845,12.447336068526958,12.721038605563585,66272000
2022-03-16,12.594400405883789,12.88444376630223,12.406485625782416,12.868102944116046,72034900
2022-03-17,12.259422302246094,12.827252671709555,12.051081478106836,12.765976142062325,178319300
2022-03-18,12.50452709197998,12.59031406318936,12.198143716220967,12.292101097785492,93097100
2022-03-21,12.974313735961914,13.109122379291593,12.516780922106944,12.627079115514816,67700800
2022-03-22,12.917123794555664,13.113208193871849,12.8068255894654,13.068272494117963,56128600
2022-03-23,13.092784881591797,13.264360412093383,12.945721365577134,13.04376396931136,52956100
2022-03-24,13.24393367767334,13.317465825679212,12.937551026271132,13.092784954926474,49402800
2022-03-25,13.194912910461426,13.297040721778227,13.039678980096168,13.133637158679383,51780100
2022-03-28,12.908952713012695,13.105038660483231,12.6556754529154,13.09686825034421,68610500
2022-03-29,13.194912910461426,13.382827709281125,13.039678980096168,13.125466746772432,93809000
2022-03-30,13.476784706115723,13.476784706115723,13.227592633425617,13.276613539387874,69648400
2022-03-31,13.664698600769043,13.71371950358577,13.276612687466136,13.305208343971428,94269500
2022-04-01,13.484952926635742,13.803592696326474,13.444102433305705,13.70554933064938,72545400
2022-04-04,13.358317375183105,13.440019931889218,13.174487012181016,13.440019931889218,56053000
2022-04-05,13.23167610168457,13.5053793867139,13.23167610168457,13.341974300874325,45847200
2022-04-06,13.219420433044434,13.390994359857675,13.088696995944927,13.317462231695917,56947100
2022-04-07,13.905719757080078,13.913890166985915,13.276612219447738,13.333803530442252,118469400
2022-04-08,13.975168228149414,14.056870782450437,13.828103942076893,13.917976907642679,60772700
2022-04-11,13.8689546585083,13.930230399554206,13.799506948640525,13.848529411492999,48125400
2022-04-12,13.828103065490723,14.167168098924769,13.80767781779691,14.052785465162204,68522800
2022-04-13,14.122234344482422,14.216191748684292,13.930233550743447,14.040531779592635,101438800
2022-04-14,13.97486400604248,14.332391360669785,13.925703675126556,14.1223441463778,119382100
